ID_Casa,DIR,dire,lat,lon
753,Mateo Booz 1345,Mateo Booz 1345,-31.486972,-60.7354705
757,Belgrano ,Belgrano ,-31.490979,-60.7375246
762,Cafferatta ,Cafferatta ,-31.4912654,-60.7362858
763,Cafferatta 586,Cafferatta 586,-31.4879969,-60.7374169
764,Calle presbitero Martinez 596,Calle presbitero Martinez 596,-31.4904218,-60.7261472
770,Martin guemes 535,Martin guemes 535,-31.4868727,-60.7374539
776,Calle presbitero Martinez 1476,Calle presbitero Martinez 1476,-31.4875926,-60.7374084
778,Belgrano 544,Belgrano 544,-31.4872618,-60.7363026
779,Mateo Booz 1485,Mateo Booz 1485,-31.4865662,-60.7371739
781,Mateo Booz 1487,Mateo Booz 1487,-31.4865605,-60.7371985
783,Mateo Booz 1437,Mateo Booz 1437,-31.4867052,-60.7365846
784,Calle presbitero Martinez 1526,Calle presbitero Martinez 1526,-31.4874462,-60.7380174
786,Mateo Booz 1585,Mateo Booz 1585,-31.4862811,-60.7383848
787,Calle presbitero Martinez 1548,Calle presbitero Martinez 1548,-31.4873836,-60.738286
793,Mateo Booz 1585,Mateo Booz 1585,-31.4862811,-60.7383848
796,Estanislao Lopez 607,Estanislao Lopez 607,-31.4873293,-60.7389192
799,Calle presbitero Martinez 1575,Calle presbitero Martinez 1575,-31.4873404,-60.7386133
802,Martin guemes 638,Martin guemes 638,-31.4879318,-60.7378411
803,lehmann 1556,lehmann 1556,-31.4883786,-60.7387205
804,Martin guemes 678,Martin guemes 678,-31.4883395,-60.7379747
805,Martin guemes 650,Martin guemes 650,-31.4880541,-60.7378812
812,lehmann 1576,lehmann 1576,-31.4883211,-60.7389657
814,Lehmann 1535,Lehmann 1535,-31.4884526,-60.7406445
821,Sta Fe 1560,Sta Fe 1560,-31.4894243,-60.7391128
822,Lehmann 1545,Lehmann 1545,-31.488444,-60.7385833
823,Martin Guemes 784,Martin Guemes 784,-31.4894616,-60.7383389
831,Martin guemes 702,Martin guemes 702,-31.4885856,-60.7380552
835,Sta Fe 1537,Sta Fe 1537,-31.4895284,-60.7388301
838,Martin guemes 820,Martin guemes 820,-31.489844,-60.7384645
841,Mitre 1548,Mitre 1548,-31.4905213,-60.7393153
842,Mitre 1506,Mitre 1506,-31.490648,-60.738804
843,Mitre 1576,Mitre 1576,-31.4904369,-60.7396562
844,J. D. y Clucellas 1156,J. D. y Clucellas 1156,-31.4939158,-60.7352973
845,J. D. y Clucellas 1178,J. D. y Clucellas 1178,-31.4938512,-60.7355667
847,Martin guemes 942,Martin guemes 942,-31.4912746,-60.7389262
848,Mitre 1517,Mitre 1517,-31.4908018,-60.7389787
849,Mitre 1585,Mitre 1585,-31.4906095,-60.7398175
850,Estanislao Lopez 955,Estanislao Lopez 955,-31.4911261,-60.7401576
851,Estanislao Lopez 975,Estanislao Lopez 975,-31.4913335,-60.7402224
852,Estanislao Lopez 985,Estanislao Lopez 985,-31.4914372,-60.7402548
853,Estanislao Lopez 925,Estanislao Lopez 925,-31.490815,-60.7400605
854,Estanislao Lopez 965,Estanislao Lopez 965,-31.4912298,-60.74019
855,Estanislao Lopez 955,Estanislao Lopez 955,-31.4911261,-60.7401576
861,Martin guemes 900,Martin guemes 900,-31.4908405,-60.7387855
868,Alfonsina Storni 1560,Alfonsina Storni 1560,-31.4916865,-60.7398467
869,Alfonsina Storni 1552,Alfonsina Storni 1552,-31.4917098,-60.7397503
872,Alfonsina Storni 1555,Alfonsina Storni 1555,-31.4917348,-60.7397846
874,Mitre 1473,Mitre 1473,-31.490941,-60.7383952
875,Pje. 4 de Diciembre 1492,Pje. 4 de Diciembre 1492,-31.4913567,-60.7388423
876,Martin guemes 909,Martin guemes 909,-31.4909317,-60.7387761
877,Simon de Iriondo 711,Simon de Iriondo 711,-31.4898827,-60.7332056
878,Simon de Iriondo 763,Simon de Iriondo 763,-31.4904225,-60.7333854
880,Mitre 1413,Mitre 1413,-31.4911065,-60.7377168
882,Mitre 1423,Mitre 1423,-31.4910789,-60.7378298
883,Pje. 4 de Diciembre 1432,Pje. 4 de Diciembre 1432,-31.4915354,-60.7381224
884,Pje. 4 de Diciembre 1412,Pje. 4 de Diciembre 1412,-31.491595,-60.7378824
885,Pje. 4 de Diciembre 1422,Pje. 4 de Diciembre 1422,-31.4915652,-60.7380024
886,Pje. 4 de Diciembre 1452,Pje. 4 de Diciembre 1452,-31.4914758,-60.7383623
887,Pje. 4 de Diciembre 1472,Pje. 4 de Diciembre 1472,-31.4914163,-60.7386023
889,Alfonsina Storni 1412,Alfonsina Storni 1412,-31.4921218,-60.7380559
890,Alfonsina Storni 1456,Alfonsina Storni 1456,-31.4919913,-60.73859
892,Pje. 4 de Diciembre 1493,Pje. 4 de Diciembre 1493,-31.4913874,-60.7388528
895,Alfonsina Storni 1466,Alfonsina Storni 1466,-31.4919617,-60.7387114
896,Alfonsina Storni 1511,Alfonsina Storni 1511,-31.4918626,-60.7392547
898,Pje. 4 de Diciembre 1433,Pje. 4 de Diciembre 1433,-31.4915662,-60.7381329
903,Alfonsina Storni 1480,Alfonsina Storni 1480,-31.4919201,-60.7388813
904,Pje. 4 de Diciembre 1413,Pje. 4 de Diciembre 1413,-31.4916257,-60.7378929
905,Pje. 4 de Diciembre 1483,Pje. 4 de Diciembre 1483,-31.4914172,-60.7387328
910,Simon de Iriondo 920,Simon de Iriondo 920,-31.4922218,-60.7340157
914,Mitre 1101,Mitre 1101,-31.4920167,-60.7339444
915,Simon de Iriondo 996,Simon de Iriondo 996,-31.4930245,-60.7342708
916,Simon de Iriondo 944,Simon de Iriondo 944,-31.4924753,-60.7340962
918,Simon de Iriondo 968,Simon de Iriondo 968,-31.4927288,-60.7341768
925,Mitre 1162,Mitre 1162,-31.4916413,-60.7346351
928,Alfonsina Storni 1058,Alfonsina Storni 1058,-31.4931605,-60.7337721
931,Simon de Iriondo 967,Simon de Iriondo 967,-31.492716,-60.7341338
934,Alfonsina Storni 1038,Alfonsina Storni 1038,-31.4932169,-60.7335352
936,Alfonsina Storni 1066,Alfonsina Storni 1066,-31.493138,-60.7338668
937,Mitre 1063,Mitre 1063,-31.4921241,-60.7334889
940,Simon de Iriondo 955,Simon de Iriondo 955,-31.4925893,-60.7340936
943,Mitre 1081,Mitre 1081,-31.4920733,-60.7337045
944,Mitre 1075,Mitre 1075,-31.4920902,-60.7336326
949,Av. Ignacio Crespo 982,Av. Ignacio Crespo 982,-31.4931563,-60.7330364
955,Av. Ignacio Crespo 870,Av. Ignacio Crespo 870,-31.491828,-60.7326054
958,Av. Ignacio Crespo 832,Av. Ignacio Crespo 832,-31.4914336,-60.7324758
964,Mitre 1044,Mitre 1044,-31.4919849,-60.7332185
965,Mitre 1062,Mitre 1062,-31.4919332,-60.7334342
967,Simon de Iriondo 855,Simon de Iriondo 855,-31.4913789,-60.7337063
969,Av. Ignacio Crespo 870,Av. Ignacio Crespo 870,-31.491828,-60.7326054
970,Sta Fe 1055,Sta Fe 1055,-31.4909495,-60.7330028
971,Av. Ignacio Crespo 870,Av. Ignacio Crespo 870,-31.491828,-60.7326054
997,Av. Ignacio Crespo 724,Av. Ignacio Crespo 724,-31.4903061,-60.732105
1000,Sta Fe 1092,Sta Fe 1092,-31.4908073,-60.7334431
1008,Mateo Booz 1008,Mateo Booz 1008,-31.4879129,-60.7314318
1048,J. D. y Clucellas 1048,J. D. y Clucellas 1048,-31.4942466,-60.7339177
1085,Estanislao Lopez 1055,Estanislao Lopez 1055,-31.4921692,-60.7404999
,J. R. Aldao 538,J. R. Aldao 538,-31.4877839,-60.7338709
